time	S1	S2	S3	
0	10000	0	0	
0.5	1266.95	3679.11	66.62	
1	1109.76	3396.06	139.27	
1.5	1039.76	3097.19	203.07	
2	992.38	2809.65	261.61	
2.5	929.55	2545.92	316.01	
3	877.51	2297.11	365.48	
3.5	816.3	2071.13	409.81	
4	773.61	1854.53	448.22	
4.5	718.61	1660.8	483.47	
5	672.7	1478.13	513.89	
5.5	620.67	1313.18	541.47	
6	580.47	1159.24	565.93	
6.5	532.65	1021.74	588.23	
7	492.18	893.47	608.21	
7.5	453.63	778.27	624.73	
8	413.11	676.16	639.6	
8.5	379.96	582.18	652.3	
9	340.27	501.9	662.88	
9.5	304.07	429.43	672.33	
10	276.17	362.81	680.41	
