time	S1	S2	S3	
0	0	0	0	
0.5	1310.7753	716.11909	73.268283	
1	1039.1337	906.72364	137.41121	
1.5	807.23475	927.71101	180.4698	
2	678.94505	918.37121	254.28071	
2.5	958.57323	878.55919	315.92919	
3	856.75747	1169.614	400.71677	
3.5	827.92929	968.03343	407.06455	
4	803.77566	695.0597	385.60768	
4.5	1065.9373	793.09091	387.26172	
5	634.29293	703.48798	376.90697	
5.5	624.8496	669.2804	399.54455	
6	677.94859	631.8004	432.12636	
6.5	690.41162	452.39636	423.02737	
7	705.60364	499.84758	456.41	
7.5	509.91222	516.38091	463.71424	
8	445.21	417.63071	480.18182	
8.5	443.43273	384.47232	470.57576	
9	332.56273	297.56566	471.66222	
9.5	232.10616	263.56071	489.98091	
10	208.97081	276.88273	475.59788	
